Address,Birthday,City,Email,FirstName,LastName,Phone,State,ZipCode,ACTComposite,ACTEnglish,ACTMath,ACTReading,ACTScience,Address_2,CampusSpecialty,Captured,CollegeCEEB,CollegeGPA,CollegeGradYear,CollegeName,ContactPreference,Country,Ethnicity,Gender,HighSchoolCEEB,HighSchoolGPA,HighSchoolGradYear,HighSchoolName,HighSchoolNCES,HighSchoolNicheID,IntendedDegree,MajorCIP,MajorName,PartnerID,ProspectiveType,Religion,ROTCInterest,SATComposite,SATMath,SATReading,TransferEnrollmentDate,VeteranStatus
612 Stoney Point Dr,03/31/2009,Bronson,sophr5671@gmail.com,Sophia,Reed,5176171029,MI,49028,,,,,,,both,2026-07-14 12:26:48,,,,,any,United States,White,F,230410,3.4,2027,Bronson Junior/Senior High School,260696004294,a8d5d401-fc72-4a76-bd4f-7106fd1b36d2,Bachelor's (4 year),51.1505,Marriage and Family Therapy and Counseling,Niche,High School Student,none,,930.00,490,440,,
2685 S Iris Ln,01/11/2009,Mount Pleasant,30164@mp.edzone.net,Peyton,Thomas,5172478216,MI,48858,,,,,,,campus,2026-07-14 05:36:33,,,,,any,United States,White,F,232680,3.2,2027,Mt. Pleasant Senior High School,262475006135,26507f59-156f-4b4f-9d2b-c5ce8d24539b,Bachelor's (4 year),42.0101,Psychology,Niche,High School Student,none,,,,,,
28315 Peppermill Rd,03/05/2010,Farmington Hills,8njhp4znyv@privaterelay.appleid.com,kennedy,rembisz,2487227147,MI,48331,,,,,,,campus,2026-07-14 17:55:12,,,,,any,United States,White,F,231406,3.9,2028,North Farmington High School,261407005045,1bf8b8c4-d6a0-43c7-b255-db02ddea3ceb,Bachelor's (4 year),51.1102,Pre-Medicine Studies,Niche,High School Student,catholic,,,,,,
410 S Detroit Ave,01/07/2009,Toledo,yspkjahns27@gmail.com,Karmen,Jahns,5676864119,OH,43609,,,,,,,campus,2026-07-19 16:38:12,,,,,any,United States,Hispanic,F,365064,3.3,2027,Toledo Technology Academy of Engineering,390449004560,c2174db7-e016-4515-acc7-634cc89b8c5d,Bachelor's (4 year),03.0101,Natural Resources Conservation and Management,Niche,High School Student,atheist,,,,,,
900 Riley St,08/16/2008,Hudsonville,kleatherman90010@icooud.con,Kylie,Leatherman,6162784981,MI,49426,,,,,,,campus,2026-07-14 05:08:09,,,,,any,United States,White,F,232055,4.0,2027,Unity Christian High School,00643813,1b676040-eebd-46d1-8df7-2ed2db73d9d6,Bachelor's (4 year),26.0701,Zoology and Entomology,Niche,High School Student,church-of-christ,,,,,,
18065 Ruth St,03/22/2009,Melvindale,devluke124@gmail.com,Devin,Smith,3135205378,MI,48122,,,,,,,both,2026-07-15 01:22:02,,,,,any,United States,White,M,232525,3.0,2027,Melvindale High School,262346006021,f036fdb8-4c90-447a-aba6-f91c41c749f9,Bachelor's (4 year),51.2308,Physical Therapy,Niche,High School Student,none,,740.00,370,370,,
9266 Crouch Rd SE,06/02/2009,Fife Lake,Allie.olsz75@gmail.com,Allie,Olszewski,2316243136,MI,49633,,,,,,,both,2026-07-18 07:02:17,,,,,any,United States,White,F,231440,3.8,2027,Forest Area High School,261457005151,5182f8c6-cca3-487d-a55a-a634b6407131,Bachelor's (4 year),13.1202,Elementary Education,Niche,High School Student,none,,1110.00,600,510,,
3012 Rivershyre Pky,07/12/2008,Davison,annamhansen2929@gmail.com,Anna,Hansen,8102434540,MI,48423,,,,,,,campus,2026-07-15 22:22:47,,,,,any,United States,White,F,230760,3.8,2027,Davison High School,261143004574,c25ef0a2-8e1f-4f2a-a542-6f8c7a24f7d2,Bachelor's (4 year),26.01,Biology,Niche,High School Student,church-of-the-nazarene,,1210.00,580,630,,
4931 W 123rd St,07/24/2009,Chicago,2780102@chsd218.org,Nevaeh,Arce,3125394043,IL,60803,22.00,20,20,26,22,,campus,2026-07-15 20:39:12,,,,,any,United States,Hispanic,F,143356,3.2,2027,A.B. Shepard High School (Campus),170654000339,a1185a1a-e0e4-4ec5-b7a1-c5fd52f06e85,Bachelor's (4 year),42.0101,Psychology,Niche,High School Student,i-prefer-not-to-answer,,,,,,
4737 Orchard Ave,04/23/2009,Dearborn,nadeh954@gmail.com,Nadeh,Shajira,3138173265,MI,48126,,,,,,,both,2026-07-15 15:26:22,,,,,any,United States,Asian,F,230770,3.5,2027,Edsel Ford High School,261160004590,9276e752-fe90-4321-af5c-e2ea8301afd6,Bachelor's (4 year),43.0403,Cyber/Computer Forensics and Counterterrorism,Niche,High School Student,islam,,820.00,400,420,,
4142 E Old Pine Trl,09/26/2009,Midland,lemor0926@gmail.com,Leonardo,Moreno Olvera,9896009811,MI,48642,,,,,,,campus,2026-07-17 02:15:25,,,,,any,United States,Hispanic,M,232582,3.3,2027,H.H. Dow High School,262382006068,c940417c-2f9b-46c0-b668-2c803a4610f3,Bachelor's (4 year),26.15,Neuroscience and Neurobiology,Niche,High School Student,catholic,,1090.00,560,530,,
46049 Hecker Dr,10/21/2009,Utica,j84hg22yyj@privaterelay.appleid.com,Mckenzie,Boyd,2487979185,MI,48317,,,,,,,both,2026-07-19 17:07:01,,,,,any,United States,White,F,233630,3.9,2028,Utica High School,263447007005,136afb84-35db-49c5-a665-a98ceb211ab2,Bachelor's (4 year),52,Business,Niche,High School Student,other-not-listed,,,,,,
505 E Randall St,06/21/2009,Coopersville,vanvek304@student.capsk12.org,Kaitlyn,Van Velzen,6163238389,MI,49404,,,,,,,campus,2026-07-19 16:58:45,,,,,any,United States,White,F,230715,3.93,2027,Coopersville High School,261083004546,ae5a5013-056f-45ce-96db-3bd682ce2158,Bachelor's (4 year),22.0001,Pre-Law Studies,Niche,High School Student,lutheran,,,,,,
214 Chalmers St,01/01/2001,Geneva,2703092@geneva304.org,Herbert,Hoover,6303312454,IL,60134,35.75,36,36,36,35,,both,2026-07-19 21:43:11,,,,,any,United States,African American,F,471895,4.0,2027,Saint Gertrude High School,01431706,4de1b5f3-5877-44ec-bfc5-6cd68d755c80,Bachelor's (4 year),11.0102,Artificial Intelligence,Niche,High School Student,church-of-scientology,,1600.00,800,800,,
2304 Riley St,08/25/2009,Hudsonville,2027pbuchanan@jpsstudents.org,Payton,Buchanan,6168799641,MI,49426,,,,,,,both,2026-07-16 20:46:46,,,,,any,United States,White,F,232153,3.19,2027,Jenison Senior High School,261983005645,5e79057f-d005-476e-be35-544bb9d462ce,Bachelor's (4 year),42.0101,Psychology,Niche,High School Student,none,,1050.00,530,520,,
145 Sylvan Ln NE,04/29/2009,Minneapolis,mccoymarta4@gmail.com,Marta,McCoy,7635685340,MN,55432,24.25,26,17,33,21,,campus,2026-07-17 19:58:51,,,,,any,United States,White,F,241612,3.76,2027,Fridley Senior High School,271242000611,ebecda86-8ca2-42a2-8c6c-48acc697bab4,Bachelor's (4 year),19.0501,"Foods, Nutrition, and Wellness Studies",Niche,High School Student,atheist,false,,,,,false
10949 Old Oak Dr,06/17/2010,Greenville,dancerelle2010@gmail.com,Elle,Schmitt,6162567601,MI,48838,,,,,,,both,2026-07-14 18:02:11,,,,,any,United States,White,F,231790,3.9,2029,Greenville Senior High School,261716005395,5532c94f-3198-4a92-85ec-f561b47db9b1,Bachelor's (4 year),31.0505,Kinesiology and Exercise Science,Niche,High School Student,christian-and-missionary-alliance,,,,,,
26217 Wagner Ave,04/23/2010,Warren,kennedywimberly7@gmail.com,Kennedy,Wimberly,5864803438,MI,48089,,,,,,,campus,2026-07-14 07:18:50,,,,,any,United States,African American,F,233699,3.66,2028,Warren Woods Tower High School,263522007124,055322a2-70ad-497c-a432-78440a500a7b,Bachelor's (4 year),51.1102,Pre-Medicine Studies,Niche,High School Student,i-prefer-not-to-answer,,,,,,
1575 Gramercy Ct,11/23/2008,Wixom,caitlynglad9@gmail.com,Caitlyn,Glad,2482142127,MI,48393,,,,,,,campus,2026-07-18 03:30:45,,,,,any,United States,Multiracial,F,233690,2.9,2027,Walled Lake Central High School,263516007081,f0935e2e-9bed-4ba2-be46-5ef167af154c,Bachelor's (4 year),50.0409,Graphic Design,Niche,High School Student,catholic,false,900.00,450,450,,false
664 Washington,08/06/2009,grosse pointe,rybunch11@gmail.com,Ryan,Bunch,3134955758,MI,48230,28.25,23,28,36,26,,campus,2026-07-14 19:24:20,,,,,any,United States,Native American,M,231802,3.95,2027,Grosse Pointe South High School,262574006220,40bd427c-797c-4fa8-8d24-a0c2a16104b1,Bachelor's (4 year),51.1102,Pre-Medicine Studies,Niche,High School Student,catholic,,1280.00,690,590,,
23242 Port St,08/21/2009,St Clair Shrs,zoepierce@shorian.org,Zoe,Pierce,5867133336,MI,48082,,,,,,,campus,2026-07-15 20:54:47,,,,,any,United States,White,F,233345,3.95,2027,Lake Shore High School,263267006815,edd948cb-303b-48b9-a7dd-7aaaa207904b,Bachelor's (4 year),50.0501,Drama and Theatre Production,Niche,High School Student,none,,1190.00,520,670,,
73 Dickens St,04/15/2009,Spring Arbor,bradyp.smith23@gmail.com,Brady,Smith,5172196976,MI,49283,,,,,,,campus,2026-07-18 20:59:20,,,,,any,United States,White,M,232945,3.59,2027,Western High School,263594007200,29e542eb-db1f-4a51-8278-4eaa03a1baa3,Bachelor's (4 year),23.14,Literature,Niche,High School Student,congregational,,1270.00,610,660,,
3225 N Vermont Ave,09/19/2009,Royal Oak,fayeirie@gmail.com,Irie,Herrick,2488546922,MI,48073,,,,,,,campus,2026-07-17 00:55:39,,,,,any,United States,Native American,F,233258,3.6,2027,Royal Oak High School,263030006637,837237b8-4f32-46bc-a5ed-3653a2d6ed88,Bachelor's (4 year),51.38,Nursing,Niche,High School Student,i-prefer-not-to-answer,,,,,,
8320 Gray St,08/19/2008,Westland,wizardingbookworm@gmail.com,Rachel,Chapman,7342920218,MI,48185,,,,,,,campus,2026-07-16 02:05:21,,,,,any,United States,White,F,232359,3.77,2027,Churchill High School,262184005903,92a4423b-24fb-44db-a772-44e5810b9276,Bachelor's (4 year),31.0505,Kinesiology and Exercise Science,Niche,High School Student,nondenominational-christian,,1260.00,610,650,,
20102 Baldwin Cir,09/03/2009,Holly,nicholasshelley5@gmail.com,Nicholas,Shelley,8102528670,MI,48442,,,,,,,campus,2026-07-15 14:36:37,,,,,any,United States,African American,M,231665,3.6,2027,Grand Blanc High School,261635005272,6d02d065-7975-434c-b90d-deb599fbbba9,Bachelor's (4 year),15.08,Mechanical Engineering Technician,Niche,High School Student,christian-and-missionary-alliance,,,,,,false
47222 Strahan Ct,04/03/2009,Utica,brinkeyp@gmail.com,Paige,Brinkey,5867882798,MI,48315,,,,,,,campus,2026-07-17 05:53:47,,,,,any,United States,White,F,233630,3.6,2027,Utica High School,263447007005,136afb84-35db-49c5-a665-a98ceb211ab2,Bachelor's (4 year),09,Communications,Niche,High School Student,agnostic,false,,,,,false
2822 E North Union Rd,04/23/2009,Bay City,emersoncham38@gmail.com,Emerson,Chambers,9892847807,MI,48706,,,,,,,campus,2026-07-17 15:53:38,,,,,any,United States,White,M,230208,3.88,2027,John Glenn High School,260390004081,ff864e3c-58d6-48b6-93f8-33dec73a4879,Bachelor's (4 year),52.08,Finance,Niche,High School Student,christian-and-missionary-alliance,,,,,,
